14/08/07 16:09:48 WARN mapred.JobClient: Use GenericOptionsParser for parsing the arguments. Applications should implement Tool for the same.
14/08/07 16:09:48 INFO input.FileInputFormat: Total input paths to process : 2
14/08/07 16:09:48 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/08/07 16:09:48 WARN snappy.LoadSnappy: Snappy native library is available
14/08/07 16:09:48 INFO snappy.LoadSnappy: Snappy native library loaded
14/08/07 16:09:48 INFO mapred.JobClient: Running job: job_201408041736_0010
14/08/07 16:16:43 INFO mapred.JobClient:  map 86% reduce 23%
14/08/07 16:16:47 INFO mapred.JobClient:  map 86% reduce 27%
14/08/07 16:16:51 INFO mapred.JobClient:  map 87% reduce 27%
14/08/07 16:16:53 INFO mapred.JobClient:  map 87% reduce 28%
14/08/07 16:16:54 INFO mapred.JobClient:  map 89% reduce 28%
14/08/07 16:16:57 INFO mapred.JobClient:  map 91% reduce 28%
14/08/07 16:17:00 INFO mapred.JobClient:  map 92% reduce 28%
14/08/07 16:17:03 INFO mapred.JobClient:  map 93% reduce 28%
14/08/07 16:17:08 INFO mapred.JobClient:  map 93% reduce 31%
14/08/07 16:17:10 INFO mapred.JobClient:  map 94% reduce 31%
14/08/07 16:17:13 INFO mapred.JobClient:  map 98% reduce 31%
14/08/07 16:17:16 INFO mapred.JobClient:  map 99% reduce 31%
14/08/07 16:17:18 INFO mapred.JobClient:  map 100% reduce 31%
14/08/07 16:17:20 INFO mapred.JobClient:  map 100% reduce 32%
14/08/07 16:17:27 INFO mapred.JobClient:  map 100% reduce 67%
14/08/07 16:17:30 INFO mapred.JobClient:  map 100% reduce 68%
14/08/07 16:17:33 INFO mapred.JobClient:  map 100% reduce 69%
14/08/07 16:17:36 INFO mapred.JobClient:  map 100% reduce 70%
14/08/07 16:17:39 INFO mapred.JobClient:  map 100% reduce 71%
14/08/07 16:17:42 INFO mapred.JobClient:  map 100% reduce 72%
14/08/07 16:17:45 INFO mapred.JobClient:  map 100% reduce 73%
14/08/07 16:17:48 INFO mapred.JobClient:  map 100% reduce 74%
14/08/07 16:17:51 INFO mapred.JobClient:  map 100% reduce 75%
14/08/07 16:17:54 INFO mapred.JobClient:  map 100% reduce 76%
14/08/07 16:17:57 INFO mapred.JobClient:  map 100% reduce 77%
14/08/07 16:18:00 INFO mapred.JobClient:  map 100% reduce 78%
14/08/07 16:18:03 INFO mapred.JobClient:  map 100% reduce 79%
14/08/07 16:18:06 INFO mapred.JobClient:  map 100% reduce 80%
14/08/07 16:18:09 INFO mapred.JobClient:  map 100% reduce 81%
14/08/07 16:18:12 INFO mapred.JobClient:  map 100% reduce 82%
14/08/07 16:18:15 INFO mapred.JobClient:  map 100% reduce 83%
14/08/07 16:18:18 INFO mapred.JobClient:  map 100% reduce 84%
14/08/07 16:18:21 INFO mapred.JobClient:  map 100% reduce 85%
14/08/07 16:18:24 INFO mapred.JobClient:  map 100% reduce 86%
14/08/07 16:18:27 INFO mapred.JobClient:  map 100% reduce 87%
14/08/07 16:18:30 INFO mapred.JobClient:  map 100% reduce 88%
14/08/07 16:18:33 INFO mapred.JobClient:  map 100% reduce 89%
